Character,Moon,CharMoon,Move,Damage,Red Damage,Proration,Cancel,Guard,First Active,Active,Recovery,Frame Adv,TotalFrames,Circuit,Image,Image2
Kouma,Half_Moon,H-Kouma,5A (5A~6A),600,384,80% (M),"N, SP, -CH-, EX, (J)",LH,8,4,16,-5,16,4.2%,https://mizuumi.wiki/images/8/8d/MBHKouma5A.png,
Kouma,Half_Moon,H-Kouma,5A (5A~6A~6A),1000,768,60% (O),"(N), SP, EX, (J)",LH,11,4,16,-2,16,7.0%,https://mizuumi.wiki/images/8/8d/MBHKouma5A.png,
Kouma,Half_Moon,H-Kouma,5B,700,432,70% (O),"N, SP, EX, (J)",LH,10,8,12,-5,29,4.9%,https://mizuumi.wiki/images/1/14/MBCKouma5B.png,
Kouma,Half_Moon,H-Kouma,5C,1000,672,90% (O),"N, SP, EX, (J)",LH,7,4,19,-5,29,7.0%,https://mizuumi.wiki/images/9/95/MBHKouma5C.png,
Kouma,Half_Moon,H-Kouma,2A,300,192,75% (O),"SE-, -N-, -SP-, -EX-, (J)",L,6,4,8,0,17,2.45%,https://mizuumi.wiki/images/f/f0/MBCKouma2A.png,
Kouma,Half_Moon,H-Kouma,2B,800,432,70% (O),"N, SP, EX, (J)",LH,7,3,20,-8,29,5.6%,https://mizuumi.wiki/images/1/17/MBHKouma2B.png,
Kouma,Half_Moon,H-Kouma,2C,800,432,65% (O),"N, SP, EX, (J)",L,10,3,14,1,26,6.65%,https://mizuumi.wiki/images/f/f1/MBCKouma2C.png,
Kouma,Half_Moon,H-Kouma,j.A,300,144,75% (O),"-SP-, -EX-",LHA,5,3,18,-,25,6.65%,https://mizuumi.wiki/images/d/de/MBHKoumajA.png,
Kouma,Half_Moon,H-Kouma,j.B,800,576,90% (O),"SP, EX",HA,6,3,20,-,28,5.6%,https://mizuumi.wiki/images/b/b3/MBHKoumajB.png,
Kouma,Half_Moon,H-Kouma,j.C,900,576,90% (O),"SP, EX",HA,11,5,20,-,35,6.3%,https://mizuumi.wiki/images/3/30/MBHKoumajC.png,
Kouma,Half_Moon,H-Kouma,6C,700,480,50% (O),"SP, EX, (J)",LH,15,4,19,-5,37,5.6%,https://mizuumi.wiki/images/2/2a/MBHKouma6C.png,
Kouma,Half_Moon,H-Kouma,Ground Throw,1300,768,70%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/0/05/MBCKoumaThrow.png,
Kouma,Half_Moon,H-Kouma,Air Throw,1600,576,30%,-,U,2,1,Until Landing+12,-,14,0.0%,https://mizuumi.wiki/images/d/da/MBCKoumaThrowAir.png,
Kouma,Half_Moon,H-Kouma,Shield Counter (Standing),500 (345),300 (198),40%,"SP, EX, (J)",LHA,9,4,18,-4,30,3.5%,https://mizuumi.wiki/images/1/16/MBCKoumaShieldCounter.png,
Kouma,Half_Moon,H-Kouma,Shield Counter (Crouching),1500 (1117),1000 (714),50%,"SP, EX, (J)",LA,9,4,18,-4,30,11.5%,https://mizuumi.wiki/images/1/16/MBCKoumaShieldCounter.png,
Kouma,Half_Moon,H-Kouma,Shield Counter (Air),500 (303),300 (174),50%,-,HA,9,4,-,-,30,3.5%,https://mizuumi.wiki/images/1/16/MBCKoumaShieldCounter.png,
Kouma,Half_Moon,H-Kouma,Shield Bunker (Neutral),500,192,50%,-,LHA,26,4,19,-5,48,0.0%,https://mizuumi.wiki/images/3/3b/MBCKoumaShieldBunker.png,
Kouma,Half_Moon,H-Kouma,Shield Bunker ((Clash)),500,192,50%,-,LHA,7,4,19,-5,48,0.0%,https://mizuumi.wiki/images/3/3b/MBCKoumaShieldBunker.png,
Kouma,Half_Moon,H-Kouma,Shield Bunker (Blockstun),0,0,100%,-,LHA,19,3,22,-7,48,-100.0%,https://mizuumi.wiki/images/3/3b/MBCKoumaShieldBunker.png,
Kouma,Half_Moon,H-Kouma,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/f/ff/MBCKoumaCircuitSpark.png,
Kouma,Half_Moon,H-Kouma,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/f/ff/MBCKoumaCircuitSpark.png,
Kouma,Half_Moon,H-Kouma,Triple Samadhi Prajna(EX: Unicorn - Skull City) (A),550,384,100%,"-EX-, (J)",LH,11,2,14,-1,26,2.45%,https://mizuumi.wiki/images/8/86/MBHKouma236A.png,
Kouma,Half_Moon,H-Kouma,Triple Samadhi Prajna(EX: Unicorn - Skull City) (B),550*2 (1100),(756),100%,"-EX-, (J)",LH,11,3 (7) 2,17,-4,26,"2.45%, 3.15% (5.6%)",https://mizuumi.wiki/images/8/86/MBHKouma236A.png,
Kouma,Half_Moon,H-Kouma,Triple Samadhi Prajna(EX: Unicorn - Skull City) (EX),"850*2, 950 (2563)",(1764),"100% (O)*2, 80% (M)",-,LH,2+9,8,23,-12,26,-100.0%,https://mizuumi.wiki/images/8/86/MBHKouma236A.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (A),"1000, 400*2 (1502)",(912),"75% (O), 80% (O)*2",-EX-,LH,23,8,13,1 ~ 13,43,"7.0% , 1.4%*2 (9.8%)",https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (B),"400*2, 800 (1400)",(1008),100%,-CH-,"L, LH",6,6 (6) 3,35,-29,43,"2.1%*2, 5.6% (9.8%) 4.2% (14.0%)",https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (~236X),600 (1877),(1417),80% (M),-,LHA,14,2,Until Landing+9,-,43,4.2% (14.0%),https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (EX),"800*2, 400*6 (3270)",(2767),100%,-,"LH (2), LHA (4)",3+3,"2, 4 (2) 3, 2, 2, 2, 2, 2",36,-24,43,-100.0%,https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Half_Moon,H-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (A ~2/4),2000 2200/2700,1440 960/1440,100% 100%/25%,(CH),U,4,1,27,-,31,0.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Half_Moon,H-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (B ~2/4),2000 2200/2700,1440 960/1440,100% 100%/25%,(CH),U,29,1,14,-,31,0.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Half_Moon,H-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (A/B~236C),3000,2119,100%,-,-,-,-,-,-,31,-100.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Half_Moon,H-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (EX),3200,(2208),100%,-,U,5+7,1,36,-,31,-100.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Half_Moon,H-Kouma,Plated God (A),1000,720,75% (O),N/A,LH,9,4,32,-8,44,5.6%,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Half_Moon,H-Kouma,Plated God (B),-,-,-,-,-,-,-,43,-,44,-,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Half_Moon,H-Kouma,Plated God (EX),1000,576,100%,-,LHA,7+12,2,22,-6,44,-100.0%,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (A),800,576,100%,-CH-,LHA,10,3,Until Landing+6,-9 (TK),18,5.6%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (B),"500, 700 (1096)",(793),100%,-CH-,LHA,8,"2, 3",Until Landing+6,-9 (TK),18,"3.5%, 4.2% (7.7%)",https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (~236X),600,-,80% (M),-,LHA,14,2,Until Landing+9,-,18,4.2%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Half_Moon,H-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (EX),"300, 600, 350*5 (1883)",(1498),80% (O),-,LHA,2+2,"2 (2) 3, 2, 2, 2, 2, 2",Until Landing+3,18 (vs Stand) 10 (vs Crouch) (TK),18,-100.0%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Half_Moon,H-Kouma,Plated God (Air) (A),-,-,-,"-N-, -J-",-,-,-,"32, Until Landing+8",-,40,-,https://mizuumi.wiki/images/1/18/MBCKoumaj22A.png,
Kouma,Half_Moon,H-Kouma,Plated God (Air) (B),-,-,-,"-N-, -J-",-,-,-,"15, Until Landing+8",-,40,-,https://mizuumi.wiki/images/1/18/MBCKoumaj22A.png,
Kouma,Half_Moon,H-Kouma,Plated God (Air) (C),-,-,-,-,-,-,-,Until Landing+9,-,40,-,https://mizuumi.wiki/images/1/18/MBCKoumaj22A.png,
Kouma,Half_Moon,H-Kouma,Unicorn - Jambu in Flames ((Grab) (Hit)),"900*10, 1200 (4017) 2500",(2412) (2016),50% 80%,-,U LHA,4+0,1 (5) 6,43,-21,59,removes all,https://mizuumi.wiki/images/e/eb/MBCKoumaAD.png,
Kouma,Crescent_Moon,C-Kouma,5A,400,196,70% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH,5,4,8,0,16,3.0%,https://mizuumi.wiki/images/f/f8/MBCKouma5A.png,
Kouma,Crescent_Moon,C-Kouma,5B (5B),600,441,85% (O),"N, SP, -CH-, EX, (J)",LH,11,4,17,-6,31,6.0%,https://mizuumi.wiki/images/1/14/MBCKouma5B.png,
Kouma,Crescent_Moon,C-Kouma,5B (~B),700,441,100%,"N, SP, EX, (J)",LH,10 ~ 22,6,14,-5,31,7.0%,https://mizuumi.wiki/images/1/14/MBCKouma5B.png,
Kouma,Crescent_Moon,C-Kouma,5B (~[B]),700,441,100%,"N, SP, EX, (J)",LH,23,6,14,-5,31,7.0%,https://mizuumi.wiki/images/1/14/MBCKouma5B.png,
Kouma,Crescent_Moon,C-Kouma,5C,900,784,90% (O),"N, SP, EX, (J)",LH,11,4,21,-7,35,9.0%,https://mizuumi.wiki/images/1/10/MBCKouma5C.png,
Kouma,Crescent_Moon,C-Kouma,2A,300,196,70% (O),"-SE-, -N-, -SP-, -EX-, (J)",L,5,4,8,0,16,3.5%,https://mizuumi.wiki/images/f/f0/MBCKouma2A.png,
Kouma,Crescent_Moon,C-Kouma,2B,600,392,85% (O),"N, SP, EX, (J)",L,9,6,9,0,23,7.0%,https://mizuumi.wiki/images/3/32/MBCKouma2B.png,
Kouma,Crescent_Moon,C-Kouma,2C,950,568,65% (O),"N, SP, EX, (J)",L,10,3,14,1,26,9.5%,https://mizuumi.wiki/images/f/f1/MBCKouma2C.png,
Kouma,Crescent_Moon,C-Kouma,j.A,300,147,75% (O),"SE, N, SP, EX, J",LHA,5,4,10,-,18,3.0%,https://mizuumi.wiki/images/c/c0/MBCKoumajA.png,
Kouma,Crescent_Moon,C-Kouma,j.B,650,441,90% (O),"N, SP, EX, J",HA,7,6,15,-,27,6.5%,https://mizuumi.wiki/images/1/1f/MBCKoumajB.png,
Kouma,Crescent_Moon,C-Kouma,j.C,900,588,90% (O),"N, SP, EX, J",HA,11,5,20,-,35,9.0%,https://mizuumi.wiki/images/a/a9/MBCKoumajC.png,
Kouma,Crescent_Moon,C-Kouma,6C,1000,784,65% (M),"N, SP, EX, (J)",HA,28,5,16,-4,48,10.0%,https://mizuumi.wiki/images/7/7b/MBCKouma6C.png,
Kouma,Crescent_Moon,C-Kouma,Ground Throw,1300,784,70%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/0/05/MBCKoumaThrow.png,
Kouma,Crescent_Moon,C-Kouma,Air Throw,1600,588,30%,-,U,2,1,Until Landing+12,-,14,0.0%,https://mizuumi.wiki/images/d/da/MBCKoumaThrowAir.png,
Kouma,Crescent_Moon,C-Kouma,Shield Bunker (Bunker),500,196,50%,-,LHA,26,4,19,-5,48,0.0% (-50.0% in blockstun),https://mizuumi.wiki/images/3/3b/MBCKoumaShieldBunker.png,
Kouma,Crescent_Moon,C-Kouma,Shield Bunker ((Clash)),500,196,50%,-,LHA,7,4,19,-5,48,0.0%/-50.0%,https://mizuumi.wiki/images/3/3b/MBCKoumaShieldBunker.png,
Kouma,Crescent_Moon,C-Kouma,Heat,100,0,100%,-,U,16,2,25,-,42,-100.0% (min),https://mizuumi.wiki/images/b/bc/MBCKoumaHeat.png,
Kouma,Crescent_Moon,C-Kouma,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/f/ff/MBCKoumaCircuitSpark.png,
Kouma,Crescent_Moon,C-Kouma,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/f/ff/MBCKoumaCircuitSpark.png,
Kouma,Crescent_Moon,C-Kouma,Buza Palm (A),500,392,70% (O),"-CH-, -EX-",L,15,4,15,-1,33,3.5%,https://mizuumi.wiki/images/9/97/MBCKouma236A.png,
Kouma,Crescent_Moon,C-Kouma,Buza Palm (B),800,392,70% (O),"-CH-, -EX-",LH,11,3,21,-9,33,3.5%,https://mizuumi.wiki/images/9/97/MBCKouma236A.png,
Kouma,Crescent_Moon,C-Kouma,Buza Palm (C),800,490,70% (O),-CH-,LH,11,4,20,-6,33,8.0%,https://mizuumi.wiki/images/9/97/MBCKouma236A.png,
Kouma,Crescent_Moon,C-Kouma,Buza Palm (~236C (1)),500,294,65% (O),(CH),LHA,12,4,22,-8,33,5.0%,https://mizuumi.wiki/images/9/97/MBCKouma236A.png,
Kouma,Crescent_Moon,C-Kouma,Buza Palm (~236C (2)),2100,-,-,-,U,-,-,-,-,33,0.0%,https://mizuumi.wiki/images/9/97/MBCKouma236A.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (A),800,490,70% (O),-EX-,LH,9,8,13,-3,29,10.0%,https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (B),"400*2, 800 (1400)",(1027),100%,-CH-,"L, LH",6,6 (6) 3,35,-29,29,"3.0%*2, 8.0% (14.0%)",https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (~236X),600 (1877),(1417),80% (M),-,LHA,14,2,Until Landing+9,-,29,6.0% (20.0%),https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata(EX: Unicorn - Indra's Net) (EX),"800*2, 400*6 (3270)",(2824),100%,-,"LH (2), LHA (4)",3+3,"2, 4 (2) 3, 2, 2, 2, 2, 2",36,-24,29,-100.0%,https://mizuumi.wiki/images/8/82/MBCKouma623A.png,
Kouma,Crescent_Moon,C-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (A ~2/4),2000 2200/2700,1470 980/1470,100% 100%/25%,(CH),U,4,1,27,-,31,0.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Crescent_Moon,C-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (B ~2/4),2000 2200/2700,1470 980/1470,100% 100%/25%,(CH),U,29,1,14,-,31,0.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Crescent_Moon,C-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (A/B~623C A/B~236C),3000,2164,100%,-,-,-,-,-,-,31,-100.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Crescent_Moon,C-Kouma,Cremation(EX 1: Unicorn - Purifying Flame Ecstasy)(EX 2: Unicorn - Endowed With Destruction) (EX),3200,(2254),100%,-,U,5+7,1,36,-,31,-100.0%,https://mizuumi.wiki/images/2/20/MBCKouma214A.png,
Kouma,Crescent_Moon,C-Kouma,Plated God (A),1000,735,75% (O),-,LH,9,4,32,-8,44,8.0%,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Crescent_Moon,C-Kouma,Plated God (B),-,-,-,-,-,-,-,43,-,44,-,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Crescent_Moon,C-Kouma,Plated God (EX),1000,588,100%,-,LHA,7+12,2,26,-10,44,-100.0%,https://mizuumi.wiki/images/1/19/MBCKouma22A.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (A),800,588,100%,-CH-,LHA,10,3,Until Landing+6,-9 (TK),18,8.0%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (B),"500, 700 (1096)",(809),100%,-CH-,LHA,8,"2, 3",Until Landing+6,-9 (TK),18,"5.0%, 6.0% (11.0%)",https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (~236X),600,-,80% (M),-,LHA,14,2,Until Landing+9,-,18,6.0%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Crescent_Moon,C-Kouma,Asamprajnata (Air)(EX: Unicorn - Indra's Net) (EX),"300, 600, 350*5 (1749)",(1413),70% (O),-,LHA,2+2,"2 (2) 3, 2, 2, 2, 2, 2",Until Landing+3,"18 (TK, all hits)",18,-100.0%,https://mizuumi.wiki/images/4/4e/MBCKoumaj236AB.png,
Kouma,Crescent_Moon,C-Kouma,Flaming Comet (A),1000,784,70% (O),-,LHA,13,X,Until Landing+13,3 (TK),25,10.0%,https://mizuumi.wiki/images/3/3c/MBCKoumaj214AB.png,
Kouma,Crescent_Moon,C-Kouma,Flaming Comet (B),1000,784,100%,"EX, J",LHA,15,X,9,-7 (TK) / 8,25,10.0%,https://mizuumi.wiki/images/3/3c/MBCKoumaj214AB.png,
Kouma,Crescent_Moon,C-Kouma,Flaming Comet (EX),"600, 1900 (1895)",(1625),"80% (M), 100% (O)",-,LHA,1+9,2 (16) X,Until Landing+9,3 (TK),25,"-100.0%, 2.5% (-97.5%)",https://mizuumi.wiki/images/3/3c/MBCKoumaj214AB.png,
Kouma,Crescent_Moon,C-Kouma,Flaming Comet (EX (Whiff)),-,-,-,-,-,1+9,2,Until Landing+9,-,25,-100.0%,https://mizuumi.wiki/images/3/3c/MBCKoumaj214AB.png,
Kouma,Crescent_Moon,C-Kouma,Plated God (Air) (A/B),-,-,-,"-N-, -J-",-,-,-,"37, Until Landing+8",-,45,-,https://mizuumi.wiki/images/1/18/MBCKoumaj22A.png,
Kouma,Crescent_Moon,C-Kouma,Plated God (Air) (C),-,-,-,-,-,-,-,Until Landing+9,-,45,-,https://mizuumi.wiki/images/1/18/MBCKoumaj22A.png,
Kouma,Crescent_Moon,C-Kouma,Unicorn - Jambu in Flames ((Grab) (Hit)),"900*10, 1200 (4017) 2500",(2458) (2058),50% 80%,-,U LHA,4+0,1 (5) 6,43,-21,59,removes all,https://mizuumi.wiki/images/e/eb/MBCKoumaAD.png,
Kouma,Crescent_Moon,C-Kouma,Crimson Lord - Jambudvipa Weariness Purification ((Grab) (Hit)),16600 (5518) 3200,(4136) (2524),50% 80%,-,U LHA,4+0,2 (4) 10,26,-21,46,removes all,https://mizuumi.wiki/images/3/34/MBCKoumaAAD.png,
Kouma,Crescent_Moon,C-Kouma,Yama's Judgement,"1200*7, 1300 (3600 ~ 7199)",(2421 ~ 4842),50% + 50% * remaining BH time,-,U,1+5 ~ 1+16 / 1+0 ~ 1+8,30,42,-,,removes all,https://mizuumi.wiki/images/0/02/MBCKoumaLA.png,
Len,Full_Moon,F-Len,5A,350,202,75% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH,5,4,5,3,13,3.6%,https://wiki.gbl.gg/images/6/6a/FLen5A2.png,
Len,Full_Moon,F-Len,5B,500*3 (1261),(764),80% (O),"N, SP, EX, (J)",LH,9,"2, 3, 3",8,"-2, 1",24,4.05%*3 (12.15%),https://mizuumi.wiki/images/4/4a/FLen5B-1.png,
Len,Full_Moon,F-Len,5C,"450, 400, 400*3 (1700)",(1090),85% (O),"N, SP, EX, (J)",LH,7,24,16,-25 ~ -5,46,"4.5%, 2.7%*3, 4.5% (17.1%)",https://mizuumi.wiki/images/2/2a/HLen_5C_1.png,
Len,Full_Moon,F-Len,2A,300,121,76% (O),"-SE-, -N-, -SP-, -EX-, (J)",LH (Whiffs vs Air.),4,3,6,3,12,2.7%,https://wiki.gbl.gg/images/3/36/HLen_2A.png,
Len,Full_Moon,F-Len,2B,650,404,65% (O),"N, SP, EX, (J)",L,8,3,14,-2,24,6.3%,https://mizuumi.wiki/images/4/4f/FLen2B.png,
Len,Full_Moon,F-Len,2C,750,454,100%,-,LH,14,7,17,-4 ~ 2,37,9.0%,https://mizuumi.wiki/images/d/d7/HLen_2C_1.png,
Len,Full_Moon,F-Len,j.A,300,161,75% (O),"SE, N, SP, EX, J",LHA,6,4,8,-,17,2.7%,https://mizuumi.wiki/images/1/16/HLen_j%2CA.png,
Len,Full_Moon,F-Len,j.B,700,404,90% (O),"N, SP, EX, J",HA,8,8,-,-,15,7.2%,https://mizuumi.wiki/images/7/73/HLen_j.B.png,
Len,Full_Moon,F-Len,j.C,1050,707,90% (M),"N, SP, EX, J",HA,11,3,-,-,13,10.8%,https://mizuumi.wiki/images/1/17/HLen_j.C.png,
Len,Full_Moon,F-Len,4B,800,505,75% (O),"N, SP, EX, (J)",LH,10,4,20,-9,33,7.2%,https://mizuumi.wiki/images/5/54/HLen_4B.png,
Len,Full_Moon,F-Len,3C,1000,606,78% (O),"SP, EX, (J)",LH,6,7,24,-13,36,9.0%,https://mizuumi.wiki/images/7/70/HLen_3C.png,
Len,Full_Moon,F-Len,j.2C,300*4 (849),(426),80% (M)*4,-,HA,10,"2, 2 (6) 2, 2",-,-,23,3.6%*4 (14.4%),https://mizuumi.wiki/images/e/eb/HLen_j.2C.png,
Len,Full_Moon,F-Len,Ground Throw,1200,505,30%,-,U,3,1,22,-,25,0.0%,https://mizuumi.wiki/images/f/f2/Lenthrow.png,
Len,Full_Moon,F-Len,Air Throw,"1600 (1440, Raw) 1100",454,30%,-,U,2,1,Until Landing+12,-,14,0.0%,https://mizuumi.wiki/images/0/07/Lenairthrow.png,
Len,Full_Moon,F-Len,Shield Counter (Standing),500 (345),202,45%,"(SP), (EX), (J)",LHA,9,4,18,-4,30,4.5%,https://mizuumi.wiki/images/4/48/Lensc.png,
Len,Full_Moon,F-Len,Shield Counter (Aerial),500 (345),202,45%,-,HA,9,4,-,-,30,4.5%,https://mizuumi.wiki/images/4/48/Lensc.png,
Len,Full_Moon,F-Len,Shield Bunker (Bunker),500,202,100%,-,LHA,26,4,19,-5,48,0.0% (-50.0% in blockstun),https://mizuumi.wiki/images/c/c2/CLen_Bunker.png,
Len,Full_Moon,F-Len,Shield Bunker ((Clash)),500,202,100%,-,LHA,7,4,19,-5,48,0.0%/-50.0%,https://mizuumi.wiki/images/c/c2/CLen_Bunker.png,
Len,Full_Moon,F-Len,Blood Heat,100,0,100%,-,U,19,3,25,-,46,uses all,https://wiki.gbl.gg/images/8/8e/Lenheat.png,
Len,Full_Moon,F-Len,Circuit Spark (Ground),100,0,100%,-,U,11,10,20,-,40,removes all,https://mizuumi.wiki/images/b/b7/Lenspark.png,
Len,Full_Moon,F-Len,Circuit Spark (Air),100,0,100%,-,U,12,10,Until Landing+15,-,40,removes all,https://mizuumi.wiki/images/b/b7/Lenspark.png,
Len,Full_Moon,F-Len,Flame Snow (A),1000,808,80% (O),-EX-,LHA,12,X,31,-5 ~ 24,42,9.0%,https://mizuumi.wiki/images/8/8e/Flen236A.png,
Len,Full_Moon,F-Len,Flame Snow (B),1000,808,80% (O),-EX-,LHA,9,X,36,-10 ~ 24,42,9.0%,https://mizuumi.wiki/images/8/8e/Flen236A.png,
Len,Full_Moon,F-Len,Flame Snow (EX),400*4 (1298),(983),80% (O),-,LHA,3+7,X,30,3 ~ 31,42,-100.0%,https://mizuumi.wiki/images/8/8e/Flen236A.png,
Len,Full_Moon,F-Len,London Rondo (A),1000,707,70% (O),"-EX-, (J)",LH,11,7,18,-7,35,9.0%,https://mizuumi.wiki/images/6/6d/FLen623A.PNG/175px-FLen623A.PNG.png,
Len,Full_Moon,F-Len,London Rondo (B),950,707,80% (M),"-EX-, (J)",LH,11,5,19,-6,35,8.55%,https://mizuumi.wiki/images/6/6d/FLen623A.PNG/175px-FLen623A.PNG.png,
Len,Full_Moon,F-Len,London Rondo (EX),"300*8, 1000 (2884)",(1987),70% (M),(J),"LHA (1-8), LH (9)",2+3,"3 x8, (11) 9",22,-13,35,-100.0%,https://mizuumi.wiki/images/6/6d/FLen623A.PNG/175px-FLen623A.PNG.png,
Len,Full_Moon,F-Len,St. Elmo(EX: St. Elmo - Holy Bolt) (A),1000,808,70% (O),-EX-,LHA,35,X,3,-,37,9.0%,https://mizuumi.wiki/images/3/35/Flen214A.png,
Len,Full_Moon,F-Len,St. Elmo(EX: St. Elmo - Holy Bolt) (B),1500,1212,70% (O),-EX-,LHA,38,X,0,-,37,13.5%,https://mizuumi.wiki/images/3/35/Flen214A.png,
Len,Full_Moon,F-Len,St. Elmo(EX: St. Elmo - Holy Bolt) (~214X),-,-,-,-,-,13,X,23,5,37,-,https://mizuumi.wiki/images/3/35/Flen214A.png,
Len,Full_Moon,F-Len,St. Elmo(EX: St. Elmo - Holy Bolt) (EX),300*6 (1496),(1256),96% (M)*6,-,LHA,6+44,X,14,4 ~ 44,37,"-100.0%, 1.8%*6",https://mizuumi.wiki/images/3/35/Flen214A.png,
Len,Full_Moon,F-Len,St. Elmo (Air)(EX: St. Elmo - Holy Bolt) (A),1000,808,70% (O),-EX-,LHA,39,X (1600),35,-,12,9.0%,https://mizuumi.wiki/images/6/62/Flenj214A.png,
Len,Full_Moon,F-Len,St. Elmo (Air)(EX: St. Elmo - Holy Bolt) (B),1500,1212,70% (O),-EX-,LHA,42,X (1600),35,-,12,13.5%,https://mizuumi.wiki/images/6/62/Flenj214A.png,
Len,Full_Moon,F-Len,St. Elmo (Air)(EX: St. Elmo - Holy Bolt) (~j.214X),-,-,-,-,-,7,X,Until Landing+6,4 (TK),12,-,https://mizuumi.wiki/images/6/62/Flenj214A.png,
Len,Full_Moon,F-Len,St. Elmo (Air)(EX: St. Elmo - Holy Bolt) (EX),300*6 (1496),(1256),96% (M)*6,-,LHA,1+41,X,Until Landing+6,-,12,"-100.0%, 1.8%*6",https://mizuumi.wiki/images/6/62/Flenj214A.png,
Len,Full_Moon,F-Len,Ephemeral Transience,440*N,363*N,50% (O),-,LHA,8+11,X,41,-10 (min),59,removes all,https://mizuumi.wiki/images/b/b3/HLen_AD.png,
